address,tel,name,locality,country,latitude,longitude,postcode,factual_id
283 Van Brunt St,(718) 875-1155,Kao Soy,Brooklyn,us,40.679144,-74.010775,11231,053789ab-7201-4a36-b245-d7f8d002edee
129 Dwight St,(718) 643-4662,U S Fried Chicken,Brooklyn,us,40.675021,-74.009974,11231,92ca4866-9867-4965-abab-3523432afb1b
287 Van Brunt St,(718) 522-7246,Wen Gee House,Brooklyn,us,40.678996,-74.010696,11231,077f975e-bd0e-4762-99cc-a9fd2c6e1f00
116 Sullivan St,(718) 625-1616,Diego's Restaurant,Brooklyn,us,40.6788,-74.013093,11231,71e50120-bef8-012e-5614-003048cad9da
368 Van Brunt St,(718) 875-8848,Stop 1 Supermarket,New York,us,40.677484,-74.013023,11231,bd98cf30-da91-4e28-9bb0-dc07d30e8e0c
116 Sullivan St,(347) 529-5603,Court Street Grocers,New York,us,40.678555,-74.01301,11231,df671a24-5c73-4098-9e71-e4dd0ee9887b
325 Van Brunt St,(718) 624-9313,VFW Post 5185,Brooklyn,us,40.677939,-74.011901,11231,6505ab64-a853-4154-bf03-1baaa47816e8
277 Van Brunt St,(718) 596-8335,Red Hook's Finest Deli & Catering,Brooklyn,us,40.679141,-74.010572,11231,a1a8f725-3c1a-4220-a3d8-bacc884e47ef
51 Wolcott St,(718) 852-9850,A & K Grocery,Brooklyn,us,40.676173,-74.0114,11231,d8bdb004-7e67-492c-935e-a875a5764434
354 Van Brunt St,(718) 488-7400,Anselmo's Pizza,New York,us,40.677772,-74.012611,11231,73a00699-b0bd-413e-b63c-c9a0ada6a150
106 Ferris St,(718) 596-7575,l'Epicurie,New York,us,40.678012,-74.017515,11231,ef6448e2-3bae-4826-9b6e-7478b6f7bb51
110 Beard St,(718) 305-6862,New Harvest Kitchen,Brooklyn,us,40.674554,-74.014303,11231,c58e1930-678e-405f-9a1c-4574f56d4cf6
106 Ferris St,(718) 596-6444,L-Epicerie,Brooklyn,us,40.677827,-74.017385,11231,cf09e38a-c613-4e3a-99b9-ecbd56b8b6e6
480 Van Brunt St,(718) 858-9182,LLC Fairway Brooklyn,Brooklyn,us,40.674415,-74.016677,11231,4a9e41ff-93c5-4d5c-81cb-ff58344daafe
347 Van Brunt St,(347) 599-2963,H & A Restaurants,Brooklyn,us,40.677146,-74.012855,11231,09b3ef66-b13c-430d-9cc2-252387a55b2b
327 Van Brunt St,(718) 243-9187,Morning Star Deli & Grocery,Brooklyn,us,40.677972,-74.011946,11231,46973ada-0453-4643-abbe-decad1811321
325 Van Brunt St,(718) 624-9313,Veterans of Foreign Wars #5195,New York,us,40.677952,-74.011935,11231,35944b20-2001-437a-a60f-1afcaf21969e
96 Beard St,(718) 596-6518,Grow and Behold Foods,Brooklyn,us,40.67459,-74.014327,11231,7aa73415-27a1-4e9f-853d-4a168a28ecf9
481 Van Brunt St,(718) 522-4555,Dutch Kitchen Center,Brooklyn,us,40.674356,-74.016262,11231,44392e9c-4120-477e-a36c-b884cefb8263
327 Van Brunt St,(718) 243-9187,Piraquive Jose,New York,us,40.677876,-74.01199,11231,1b4cfd98-5324-41d9-b34b-d18369e0edad
220 Conover St,(718) 797-5012,Cacao Bio Technologies,Brooklyn,us,40.677314,-74.015479,11231,e58f0b62-0167-4d2a-aac4-1d57ed58200d
212 Wolcott St,(718) 246-6200,Dr Pepper Snapple Group,Brooklyn,us,40.679636,-74.016168,11231,dfa7ec06-012d-4e90-b2c6-6bc4e39db34e
1 Liberty Is,(212) 363-3180,Evelyn Hill,New York,us,40.690088,-74.046054,10004,7b99732f-bee9-494b-84bb-09275c75f64e
270 Van Brunt St,(718) 246-7482,New York Pita,Brooklyn,us,40.680292,-74.009812,11231,0c94e1ac-af25-4f50-985e-de95eae5e6e7
414 Van Brunt St,(718) 855-4206,Tini Wine Bar Cafe,Brooklyn,us,40.676041,-74.014582,11231,3c5651b3-eb14-4e43-a044-b6012d089c3f
20 Bay St,(718) 852-8124,Jofaz Transportation,Brooklyn,us,40.673453,-74.009252,11231,10f3731f-2b2b-4f03-adac-9f8f60a2b5bb
327 Van Brunt St,,327 V-B Cafe Deli,Brooklyn,us,40.677898,-74.012039,11231,018ae62d-948c-4c2d-8afd-3dc575efad2b
350 Van Brunt St,(718) 935-0383,Morning Star Deli & Grocery,Brooklyn,us,40.677836,-74.012538,11231,1ea94322-767d-450b-87e2-c3d16a2d9d80
84 Broadway,(718) 429-4818,Taiwanese Specialties,New York,us,40.739788,-73.878674,10005,e63b74a6-d2b3-4fab-a471-d33cea8e2ce4
82 Broadway,(718) 898-7996,Nusara Thai Kitchen,New York,us,40.74132,-73.880781,10005,4f1db1ff-48ca-4c0a-a8dd-a546619f09cc
10119 Queens Blvd,(718) 997-8000,Boston Market,New York,us,40.726401,-73.851806,11375,196da1d4-ae4c-46a4-9afd-28955f0f2a5e
107 W 70th St,(718) 544-2433,Aged,New York,us,40.720758,-73.845641,10023,e3df5d9c-4313-4e6e-bb11-6b0601a8d22d
6841 Myrtle Ave,,Taste of Taco,New York,us,40.701842,-73.883115,11385,4b507727-8036-4b07-b2f1-b91230d16594
8012 51st Ave,(718) 878-3624,Arena Lounge,New York,us,40.737307,-73.883277,11373,e5dbfb0b-915f-4bc5-8695-82f5667ea0ec
107-48 Queens Blvd,(718) 261-7744,T Bone Restaurant,New York,us,40.721547,-73.844669,11375,1237c7e8-275f-492a-aece-32a3f7c467a6
64 W 108th St,(718) 896-8100,Taco King,New York,us,40.732799,-73.849421,10025,644db0ba-cacd-450a-a383-6617695f8134
107 W 70th St,(718) 268-3333,MoCA Asian Bistro,New York,us,40.721087,-73.845306,10023,f622705c-d8d4-450e-af65-35cf6b5b91fa
105-03 Metropolitan Ave,(718) 544-0416,Dante's Pizza,New York,us,40.710045,-73.847382,11375,44b02fc9-c812-4301-8209-234f8c2d15a4
6120 Myrtle Ave,,Sam's Deli and Grocery,New York,us,40.700768,-73.893494,11385,9beba7a7-01a3-4bf5-8064-f6116fddb66a
67-30 Metropolitan Ave,(718) 569-5105,Metro Deli & Pizza,New York,us,40.712221,-73.888185,11379,cb5a29b6-c363-47bc-9b57-de5a9cf51cd2
96-40 Queens Blvd,(718) 897-1700,Ben's Best Kosher Delicatessen,New York,us,40.729647,-73.861764,11374,68dee06d-9be8-4fae-95a6-def765641bd6
98-108 Queens Blvd,(718) 268-8833,Grand Sichuan,New York,us,40.726984,-73.854662,11374,564e3f2b-60ef-4916-8e88-9f15c4493eee
69 Grand St,(718) 478-4674,Fame Diner,New York,us,40.727188,-73.893351,10013,9111fba0-0f24-4785-a58d-d0dbcf5106b0
92 E 63rd St,(718) 897-9080,Cheburechnaya,New York,us,40.727679,-73.864066,10065,3f192720-0079-40f7-8623-8fabe898b8a5
73-25 Woodhaven Blvd,(718) 943-3483,Five Guys Burgers & Fries,New York,us,40.710016,-73.859218,11385,20bf86d9-3e1c-47c6-bfa1-efeaa18a85ea
100-21 Queens Blvd,(718) 275-6686,Subway Store,New York,us,40.726952,-73.852722,11375,96ed993c-2b02-49ef-a509-9ccadce99636
6770 Yellowstone Blvd,,The Stoop,New York,us,40.726578,-73.848976,11375,c1543d00-6ff2-4a7d-82fd-d6855a70ac4a
66-75 Selfridge St,(718) 880-1160,Gino's Pizza of Forest Hills,New York,us,40.717179,-73.856979,11375,63836a60-94cf-4c91-8014-b8a0ce214215
63-20 Woodhaven Blvd,(718) 562-2055,Pollos Mario,New York,us,40.723709,-73.869212,11374,b389fc72-7e89-4091-93cd-acf184c6dff2
100-27 Metropolitan Ave,(718) 544-4376,Sizzler,New York,us,40.710835,-73.852451,11375,1f67a8cb-8a35-4523-9e38-f7f8d5e1a167
6841 Myrtle Ave,(718) 456-4061,Kennys Taco,New York,us,40.701892,-73.88325,11385,f101e57f-ebf6-4ca9-80fd-ade02816268b
89 89 Union Tpke,(718) 847-5001,Pizza Classica,New York,us,40.705985,-73.857319,11004,6739c6bd-2122-4905-8dc6-68cee4bb91f5
113-27 Queens Blvd,(718) 730-9305,Tasty III,New York,us,40.718672,-73.837359,11375,f46f5799-7ad5-4f51-ab88-ebcd16091a28
104-37 Queens Blvd,(718) 275-2255,Great Wall,New York,us,40.723616,-73.848851,11375,13fa3fc9-9ab3-4139-8f61-620770b98948
94 E 63rd St,(718) 896-3457,Fresh Soft Tacos,New York,us,40.72892,-73.86344,10065,20c4bac5-05fb-40c3-b8bf-93ddf2bb2022
8000 Cooper Ave,(718) 417-1544,Pasticcio,New York,us,40.709168,-73.868733,11385,6871735c-eef8-401e-b81f-b5541fad9758
86-16 Queens Blvd,(718) 651-3330,Sabor Colombiano Cafe Restaurant,New York,us,40.736117,-73.877263,11373,b0c5fcd7-7ded-4f0a-8423-acea964c9e1b
8532 Grand Ave,(718) 457-2222,Ramen Samurai Boy,New York,us,40.73531,-73.881048,11373,187195bd-36fc-4e2c-a34d-a8f161f7d44d
8331 Broadway,(718) 271-8881,Yong Kang Fuzhou Restaurant,New York,us,40.740637,-73.87901,11373,10481aa8-b597-4459-87ae-245f212ee437
9526 Queens Blvd,(718) 275-2388,Seafood Kitchen,New York,us,40.730315,-73.863895,11374,d175fa46-08ab-468e-97b5-31a113c378ec
34 E 29th St,(212) 481-4062,Talos,New York,us,40.737373,-73.859557,10016,db4c5e70-4f1b-4c97-baaf-ef53a6e3b848
90-15 Queens Blvd,(718) 271-8998,Ranch 1,New York,us,40.73427,-73.87103,11373,9e148354-b2f9-4a5f-8705-93fbf225ef7d
44-13 Queens Blvd,(718) 433-0350,Sonali Cuisine,New York,us,40.73774,-73.88125,11104,3cb7c319-2169-4cc8-83f1-22a2a7967c7d
9015 Queens Blvd,(718) 699-1643,Auntie Anne's,New York,us,40.734783,-73.869095,11373,7b7ceed9-9e54-49ef-8553-935d692c31fb
7115 Grand Ave,(718) 565-7383,Matchmakers Bar & Restaurant,New York,us,40.72812,-73.892006,11378,c45e2577-06c0-4ad9-bfd1-f855a97eb209
10117 Metropolitan Ave,(718) 520-9834,Metro 71 Bar,New York,us,40.710662,-73.851418,11375,797a8acd-651a-4487-b128-532bf7c591df
6402 Myrtle Ave,(718) 366-9600,Smart Start Deli & Grocery,New York,us,40.700773,-73.892292,11385,f3caee5d-b08a-45a8-8d0e-14eccae50833
77-00 Queens Blvd,(718) 205-0181,Rice N Tea,New York,us,40.73811,-73.886215,11373,32ef323b-381b-411a-b30c-8bf68b5d4c5e
69 Grand St,(718) 779-7383,Fortune Garden,New York,us,40.72681,-73.8939,10013,d3f59a2d-fb32-4d52-85b5-84902412e32a
7020 Central Ave,(718) 366-8911,Omis Deli and Grocery,New York,us,40.704357,-73.88133,11385,361b56f4-3d4b-4f33-a458-81682d7f727d
85 Grand St,(718) 565-0906,Yeung Wah II,New York,us,40.73568,-73.88088,10013,4561973b-bff3-433a-aac4-260b1c72c1f9
6626 Metropolitan Ave,(718) 456-7829,E & R Fit Food,New York,us,40.711001,-73.891663,11379,554fa31a-f445-4c4b-8f69-36da9ac32268
66-45 Myrtle Ave,(718) 821-1777,Happy Restaurant,New York,us,40.70155,-73.88669,11385,74455052-c0d4-451c-9508-6646b559c909
8305 Broadway,(718) 639-3996,Dumpling House,New York,us,40.741138,-73.87966,11373,52157cdc-3c17-4ce1-917f-1ac2be0a8b8d
85 Grand St,(718) 457-7561,John's Pizzeria,New York,us,40.734729,-73.881752,10013,823765f0-1e18-012f-0643-0030487f54d8
98-102 Queens Blvd,(718) 897-4829,On the Grill,New York,us,40.727438,-73.855709,11435,7fde4620-1e18-012f-0643-0030487f54d8
7028 Austin St,(718) 268-4524,Melange Grill and Cafe,New York,us,40.720461,-73.84611,11375,c0282f6b-0fcc-40f7-8d94-61deb95845c3
6368 108th St,(718) 897-2800,Emma's Cafe & Restaurant,New York,us,40.733189,-73.849809,11375,c0347b2b-8e21-4ddd-89e5-351cdbf1cfce
7309 Metropolitan Ave,(718) 894-9166,Zheng,New York,us,40.712886,-73.879025,11379,d22de035-f64e-4952-94fd-c4cefaff63d5
7921 Queens Blvd,(718) 779-7789,Thai Lagoon Restaurant,New York,us,40.738244,-73.883854,11373,1d0c9f5c-d06d-4bd4-86d9-f5ed74bd3535
82 19 Queens Blvd,(718) 396-7461,Bahar Shish Kebab House,New York,us,40.736229,-73.877255,11373,9726ba3d-5391-47f7-99eb-755839c0583d
594 Crescent St,(718) 827-9734,Napoli's Pizza,Brooklyn,us,40.673201,-73.869803,11208,07d35807-fafd-45ff-8403-df52cdea5ede
3175 Fulton St,(718) 827-1717,El Gran Mar De Plata Restaurant,Brooklyn,us,40.682238,-73.877677,11208,5fcae4eb-f2f2-47f9-85e9-79ecfdb1f01e
1224 Liberty Ave,(718) 277-4992,City Line Pizza & Pasta,Brooklyn,us,40.678995,-73.863843,11208,71f2ba20-bef8-012e-5614-003048cad9da
3337 Fulton St,(718) 277-7494,Mike's Pizzeria,Brooklyn,us,40.683695,-73.872558,11208,ead77663-7ae9-4b10-82d5-05034760db1b
1916 Linden Blvd,(718) 272-8725,Wendy's,Brooklyn,us,40.658099,-73.890778,11207,1364aa2f-e8c8-4c64-b049-336842f4f1ea
206 Jamaica Ave,(718) 647-0520,China Garden,Brooklyn,us,40.680423,-73.89254,11207,5b4a29d6-ab9c-45a8-b8fd-8407b1e42b10
2084 Linden Blvd,(347) 663-9353,Burger UrWay,Brooklyn,us,40.66047,-73.88531,11207,8597a66e-e9aa-41d6-9c20-1f64bdf9213f
2797 Linden Blvd,(718) 827-4227,McDonald's,Brooklyn,us,40.670152,-73.860337,11208,b68cbfe5-fe25-413c-972d-2b8bdb85639f
817 Van Siclen Ave,(718) 649-5022,Three Brother's Pizza Restaurant,Brooklyn,us,40.659898,-73.885091,11207,007454a0-8f2c-4fa4-8d23-bb3704179f70
436 New Lots Ave,(718) 272-5755,Johnny's Original Pizza,Brooklyn,us,40.662254,-73.891699,11207,0cba13b4-157b-47be-a836-c62a016d0855
529 Stanley Ave,(718) 272-7272,Papa John's Pizza,Brooklyn,us,40.657428,-73.888883,11207,019053a6-d30f-4da9-b490-64b23898515b
234 Cleveland St,(347) 240-4609,Tavares Restaurant,Brooklyn,us,40.679313,-73.885467,11208,3daf0660-03c4-4ae6-8628-f9d0a44aec70
2800 Atlantic Ave,(718) 647-7818,McDonald's,Brooklyn,us,40.67624,-73.890679,11207,a883ee7b-f299-4f59-bdbd-43e8a8acd823
2789 Atlantic Ave,(718) 277-7771,Subway,Brooklyn,us,40.676621,-73.891495,11207,75c4ea50-1e18-012f-0643-0030487f54d8
1940 Linden Blvd,(718) 649-0051,Burger King,Brooklyn,us,40.658493,-73.889897,11207,0c8cd310-cd40-012e-5616-003048cad9da
2870 Linden Blvd,(718) 235-6343,Lindenwood Diner & Restaurant,Brooklyn,us,40.669866,-73.857641,11208,0c2a1713-96be-41c9-81ad-e8aea7496710
3428 Fulton St,(718) 235-8880,Mariachi Taco,Brooklyn,us,40.684397,-73.869142,11208,2b2c22b1-8857-454d-85c1-99d3e7672812
2196 Pitkin Ave,(718) 495-4441,Domino's Pizza,Brooklyn,us,40.672361,-73.891415,11207,2329d66f-b2a7-4483-82ec-6f6617ea8762
530 Conduit Blvd,(718) 235-0937,Subway,Brooklyn,us,40.676733,-73.869777,11208,db1ebe8b-15e6-44c6-b999-507ef2e34a07
2749 Pitkin Ave,(718) 277-7177,Fra Amici,Brooklyn,us,40.675766,-73.870661,11208,09ca3ecb-00ef-4c37-a7c3-f6fa3f35d452
3183 Atlantic Ave,(718) 827-3408,Wendy's,Brooklyn,us,40.680246,-73.877925,11208,0cafd8c0-cd40-012e-5616-003048cad9da
819 Pennsylvania Ave,(718) 272-3362,McDonald's,Brooklyn,us,40.657868,-73.889673,11207,061954b9-dc32-479b-8853-a19006899b14
2228 Linden Blvd,(718) 257-5554,3d's Castle Restaurant,Brooklyn,us,40.662612,-73.880325,11207,03a30dd4-6a33-4167-a9dc-b68dc38dbe76
624 Conduit Blvd,(718) 348-9517,Burger King,Brooklyn,us,40.675711,-73.866823,11208,446cb3f4-90a8-4a90-99da-37818e0b177f
3035 Fulton St,(718) 277-2571,Caterina Pizza,Brooklyn,us,40.680629,-73.882781,11208,35f97b90-2daa-4d3d-b118-5bb1a9f1cf42
1064 Liberty Ave,(718) 235-5522,El Rey II Restaurant,Brooklyn,us,40.678149,-73.869904,11208,7c2b9e3d-78cf-4736-93fe-7e209b5f8ba9
1155 Sutter Ave,(718) 277-2103,New Min Fat Restaurant,Brooklyn,us,40.672467,-73.87531,11208,2b5cb8c0-0355-012f-b33e-003048cacd48
3133 Fulton St,(718) 647-7762,El Pulgarcito De America,Brooklyn,us,40.681654,-73.879602,11208,119b14ec-dbc3-4f8e-9272-409115033ecc
907 Livonia Ave,(718) 385-5305,Caterina Pizzeria,Brooklyn,us,40.666399,-73.883436,11207,9b8cc7b8-79b0-4c78-8f5b-c08df3914766
3145 Fulton St,(718) 827-1994,Tonys Pizzeria,Brooklyn,us,40.68189,-73.879049,11208,2b6a0bb0-0355-012f-b33e-003048cacd48
1121 Liberty Ave,(718) 235-7373,Joe's Pizzeria,Brooklyn,us,40.678853,-73.867923,11208,b2546572-b8ae-49e0-8680-0976ff8ef3cc
2874 Fulton St,(718) 235-4555,Little Caesars Pizza,Brooklyn,us,40.678482,-73.888619,11207,b9484013-53dd-4872-8738-8d1c44c24d72
1868 Linden Blvd,(718) 649-0045,Subway,Brooklyn,us,40.657352,-73.892291,11207,8a889dd3-02ec-4076-b99d-b60a90b1d23e
1269 Sutter Ave,(718) 235-4485,May May Restaurant,Brooklyn,us,40.672964,-73.871126,11208,4f6bbbda-d579-4e14-8aa6-dacd551c7308
3408 Fulton St,(718) 827-5016,New Peking House,Brooklyn,us,40.684167,-73.869917,11208,224fe15f-2503-4575-9e64-dff008f7d778
3149 Fulton St,(718) 235-2819,Crown Fried Chicken,Brooklyn,us,40.681947,-73.878741,11208,aca14d54-df81-432a-85c4-49e7ea54fe15
155-10 Cross Bay Blvd,(718) 322-2606,Matteo's,New York,us,40.664787,-73.841555,11414,83a7ba1f-aa18-492c-8f4d-116b3706f4e7
2686 Pitkin Ave,(718) 348-0538,New Good Taste Chinese Kitchen,Brooklyn,us,40.675071,-73.872888,11208,973cff18-7c1b-4e76-8592-e5e66e21da2a
1170 Liberty Ave,(718) 277-1223,Grand Caffe,Brooklyn,us,40.678721,-73.865899,11208,076be328-9e64-4370-9637-fe6e9e6830e3
3435 Fulton St,(718) 647-9606,Angela's Pizzeria,Brooklyn,us,40.684706,-73.869028,11208,79d2437b-d97a-4f07-808b-9b397007d85c
909 Livonia Ave,(718) 922-4614,Livonia Deli & Grocery,Brooklyn,us,40.666388,-73.883422,11207,3f8cba69-f2d7-4987-8797-f14ae30a2dfa
902 Drew St,(718) 235-5739,China Doll Chinese Restaurant,Brooklyn,us,40.667163,-73.860758,11208,2b67f500-0355-012f-b33e-003048cacd48
524 New Lots Ave,(718) 272-3888,Fen Zheng Chinese Restaurant,Brooklyn,us,40.663549,-73.888772,11207,1f1a1e24-313a-46e4-b921-cc951084ddc5
3247 Fulton St,(718) 827-0014,Faro Del Pacifico Pupuseria and Restaurant,Brooklyn,us,40.682867,-73.875288,11208,5c1014ae-16cf-417a-8017-7247a038e382
1073 Liberty Ave,(718) 235-8100,True Flavorz,Brooklyn,us,40.678443,-73.869691,11208,bbd0e032-9991-450e-8a17-f27141e747f1
2596 Linden Blvd,(718) 272-0315,Linden Fried Chicken,Brooklyn,us,40.668396,-73.868511,11208,c6e5052c-7c60-431d-93d1-a7e8b36279b3
986 Sutter Ave,(718) 348-1730,New Wah On Restaurant,Brooklyn,us,40.67114,-73.882297,11208,3410762a-c7a8-4f91-8c76-d2c8ebbc2e93
2678 Pitkin Ave,(718) 348-4108,Kennedy Fried Chicken,Brooklyn,us,40.67504,-73.873086,11208,02ed900a-4128-4a8d-8dce-3f1a76ab536a
3150 Fulton St,(718) 235-7955,Wo Hop Chinese Restaurant,Brooklyn,us,40.681644,-73.878607,11208,9659fa6f-e57b-4f64-820a-089f927c7516
956 Jamaica Ave,(718) 647-7042,Danys Pizza Restaurant,Brooklyn,us,40.690664,-73.869703,11208,23a1b2e5-8b1a-42e8-afbe-34021f5ca30e
624 Conduit Blvd,(718) 827-7712,Popeye's Louisiana Kitchen,Brooklyn,us,40.675845,-73.866703,11208,378704d4-31f8-4d37-835b-07814072b9be
517 Stanley Ave,(718) 272-4646,Downs River Caribbean,Brooklyn,us,40.657201,-73.889082,11207,04c1ff6a-40ea-482f-b65d-36d5a7656b17
3335 Fulton St,(718) 277-1710,Yip's Kitchen,Brooklyn,us,40.683716,-73.872578,11208,01f54a75-21cd-46db-8358-3c2c8b6b1248
923 Livonia Ave,(718) 345-7286,Crown Fried Chicken,Brooklyn,us,40.666501,-73.882977,11207,0341f853-ad61-4282-b839-d2f1e1bf21fc
2962 Fulton St,(718) 235-0610,Crown Fried Chicken,Brooklyn,us,40.679608,-73.885394,11208,c50c7926-8dab-4d85-bd68-d3239c875257
2488 Linden Blvd,(718) 927-2636,American Hero Restaurant,Brooklyn,us,40.66647,-73.871808,11208,ed3dd7c0-24cd-4ea2-af91-b3f6334ea431
2683 Pitkin Ave,(718) 277-7113,China King,Brooklyn,us,40.675359,-73.873035,11208,a0fff403-4258-47b7-89a0-1177b0df10ae
1039 Belmont Ave,(718) 827-9691,Espinal Restaurant,Brooklyn,us,40.67434,-73.87079,11208,23442714-d02b-4bfa-bb41-3ff8a7247598
3140 Fulton St,(718) 235-4414,Roti On The Run,Brooklyn,us,40.681572,-73.878947,11208,4d37a125-9a3f-4284-85b1-39ad42059ca4
2538 Pitkin Ave,(718) 827-7996,New Foo Shun Restaurant,Brooklyn,us,40.674254,-73.878545,11208,0f0f72d0-5611-48ee-b3c8-7bb9de88fbe3
2896 Fulton St,(718) 235-3302,International Restaurant,Brooklyn,us,40.678874,-73.887803,11207,12d0edf2-4ab1-40cc-92f0-58dbd040c6bd
2961 Fulton St,(718) 964-4494,Nancy Restaurant,Brooklyn,us,40.679834,-73.885396,11208,163826a9-24b1-4004-9efd-52aeb72a5ba0
2192 Pitkin Ave,(718) 922-2885,New Happy Garden Rest,Brooklyn,us,40.67237,-73.891516,11207,615f72a1-a1ad-4a41-8ff4-4d49dc249d5f
754 New Lots Ave,(718) 649-0030,Piggy's,Brooklyn,us,40.66626,-73.882751,11207,160df189-dc06-42f9-8d56-fccf3a71f231
1090 Liberty Ave,(718) 277-3636,1103 Liberty Deli Fruit,Brooklyn,us,40.67839,-73.868992,11208,73981eb0-1e18-012f-0643-0030487f54d8
507 Pine St,(718) 235-1174,Dave's Restaurant,Brooklyn,us,40.673102,-73.870324,11208,53910766-a88a-408c-b996-32d9acf9d1c6
2230 Pitkin Ave,(718) 385-3127,Chung Wah Kitchen,Brooklyn,us,40.672708,-73.890022,11207,9add4ec9-c552-4dce-be71-85836792b31b
1102 Liberty Ave,(718) 647-2862,Hing Long Kitchen,Brooklyn,us,40.678379,-73.868606,11208,68506f04-721a-4764-9616-f4614a988985
3101 Atlantic Ave,(718) 827-6057,White Castle,Brooklyn,us,40.679235,-73.881236,11208,074c1475-1448-425f-918f-8884f1501eae
219 Jamaica Ave,(718) 468-5951,Big John's Pizza Brew,Brooklyn,us,40.680461,-73.892912,11207,9edcc5d2-39c9-45a9-8bb1-aa7603c20ea3
2729 Atlantic Ave,(718) 708-6106,Happy Coffee Shop,Brooklyn,us,40.676325,-73.893599,11207,5b7b34f7-b429-499f-862f-78392ce785c1
3328 Fulton St,(718) 277-5064,Sing Yee Kitchen,Brooklyn,us,40.683332,-73.872696,11208,49721f78-9347-4756-8fee-4b67bbe34a4f
1377 Sutter Ave,(718) 348-0585,Coco Pizzeria Restaurant,Brooklyn,us,40.673599,-73.867071,11208,2b670150-0355-012f-b33e-003048cacd48
3123 Fulton St,(718) 235-3564,El Nuevo Puerto Plata Restaurant,Brooklyn,us,40.681533,-73.880266,11208,25888e32-79b0-44a2-b1da-765fd61b33c1
407 New Lots Ave,(718) 342-7487,New Hong Cheung Chinese Restaurant,Brooklyn,us,40.662196,-73.892657,11207,127fe772-7c53-4d61-b4fe-ab29825b6406
3352 Fulton St,(718) 235-1633,Castillo De Jagua Restaurant,Brooklyn,us,40.683624,-73.871895,11208,078c2ede-0f41-48cd-99d5-a932fdc2d7a5
799 Stanley Ave,(718) 272-3210,Lano's Coffee Shop & Pizzeria,Brooklyn,us,40.661338,-73.879609,11207,158c65e3-b512-4bb2-a79d-007afa3e68ec
